"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"1001","Used Kia Sportage 1.6L LX (FWD) Topline Plus 2021","kia",2021,"100,000 KM","Automatic","Petrol","White","1600",970000
"1002","Used Kia Cerato 1.6L Base 2016","kia",2016,"94,000 KM","Automatic","Petrol","Blue","1600",405000
"1003","Used Kia Sportage 2017","kia",2017,"200,000 KM","Automatic","Petrol","Bronze","1600",650000
"1004","Used Kia Sportage 2017","kia",2017,"200,000 KM","Automatic","Petrol","Bronze","1600",650000
"1005","Used Kia Carens 1.6 LX 2011","kia",2011,"112,000 KM","Automatic","Petrol","Black","1600",295000
"1006","Used Kia Cerato 1.6L LX 2014","kia",2014,"190,000 KM","Automatic","Petrol","Brown","1600",370000
"1007","Used Kia Picanto Base 2009","kia",2009,"362,000 KM","Manual","Petrol","Silver","1100",120000
"1008","Used Kia Cerato 1.6L LX 2010","kia",2010,"182,000 KM","Manual","Petrol","Gray","1600",175000
"1009","Used Kia Picanto Base 2009","kia",2009,"360,000 KM","Manual","Petrol","Silver","1100",145000
"1010","Used Kia Sportage 1.6L Standard 2016","kia",2016,"70,000 KM","Automatic","Petrol","White","1600",635000
"1011","Used Kia Cerato 2015","kia",2015,"60,000 KM","Automatic","Petrol","White","1600",475000
"1012","Used Kia Picanto 2008","kia",2008,"148,000 KM","Manual","Petrol","Silver","1000",130000
"1013","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"1014","Used Kia Sportage 2019","kia",2019,"21,000 KM","Automatic","Petrol","Gray","N/A",875000
"1015","Used Kia Grand Cerato 2020","kia",2020,"65,000 KM","Automatic","Petrol","Gray","1600",530000
"1016","Used Kia Cerato 1.6L Sedan 2010","kia",2010,"18,000 KM","Manual","Petrol","Gray","1600",175000
"1017","Used Kia Sephia 2004","kia",2004,"275,000 KM","Manual","Petrol","Silver","1600",90000
"1018","Used Kia Carens 2004","kia",2004,"232,000 KM","Automatic","Petrol","Bronze","1800",155000
"1019","Used Kia Cerato 1.6L Base 2016","kia",2016,"100,000 KM","Automatic","Petrol","Silver","1600",295000
"1020","Used Kia Picanto EX 2008","kia",2008,"140,000 KM","Automatic","Petrol","Yellow","1200",135000
"1021","Used Kia Sephia 2000","kia",2000,"190,000 KM","Manual","Petrol","Blue","1600",67000
"1022","Used Kia Sephia 2000","kia",2000,"190,000 KM","Manual","Petrol","Blue","1600",67000
"1023","Used Kia Sportage 1.6L LX (FWD) Highline Plus 2022","kia",2022,"17,000 KM","Automatic","Petrol","Black","1600",660000
"1024","Used Kia Soul 1.6L EX 2014","kia",2014,"100,000 KM","Automatic","Petrol","Beige","1600",265000
"1025","Used Kia Carens 1.6L Base 2016","kia",2016,"100,000 KM","Automatic","Petrol","Red","1600",330000
"1026","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"1027","Used Kia Sorento 2010","kia",2010,"160,000 KM","Automatic","Petrol","Other","N/A",300000
"1028","Used Kia Carens 2015","kia",2015,"56,200 KM","Automatic","N/A","White","1600",360000
"1029","Used Kia Carens 2015","kia",2015,"56,300 KM","Automatic","Petrol","White","1600",360000
"1030","Used Kia Rio 4 Door Sedan 1.4L 2009","kia",2009,"233,000 KM","Manual","Petrol","Black","1400",110000
"1031","Used Kia Picanto 2011","kia",2011,"13,500 KM","Automatic","Petrol","Silver","N/A",148000
"1032","Used Kia Picanto 2011","kia",2011,"160,000 KM","Manual","Petrol","Black","N/A",117000
"1033","Used Kia Cerato Koup 1.6L Turbo 2010","kia",2010,"142,000 KM","Automatic","Petrol","Black","1600",190000
"1034","Used Kia Soul 1.6L LX 2010","kia",2010,"240,000 KM","Automatic","Petrol","Brown","1600",175000
"1035","Used Kia Rio 4 Door Sedan 1.4L 2012","kia",2012,"162,000 KM","Automatic","Petrol","Silver","1400",175000
"1036","Used Kia Grand Cerato 2016","kia",2016,"75,000 KM","Automatic","N/A","Black","1600",255000
"1037","Used Kia Grand Cerato 2020","kia",2020,"60,000 KM","Automatic","Petrol","Gray","1600",350000
"1038","Used Kia Sportage 2018","kia",2018,"78,000 KM","Automatic","Petrol","Gray","1600",395000
"1039","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
"1040","Used Kia Cerato 1.6L EX 2009","kia",2009,"180,000 KM","Automatic","Petrol","Black","1591",140000
"1041","Used Kia Sportage 2015","kia",2015,"99,000 KM","Automatic","Petrol","Black","1600",365000
"1042","Used Kia Cerato 2.0L Sedan 2012","kia",2012,"230,000 KM","Automatic","Petrol","White","1999",190000
"1043","Used Kia Picanto 1.2L Base 2009","kia",2009,"110,000 KM","Manual","Petrol","Silver","1100",135000
"1044","Used Kia Cerato 1.6L Top 2016","kia",2016,"62,200 KM","Automatic","Petrol","Blue","1600",265000
"1045","Used Kia Carens 1.6L Base 2011","kia",2011,"200,000 KM","Automatic","Petrol","Silver","1591",200000
"1046","Used Kia Grand Cerato 2021","kia",2021,"10,000 KM","Automatic","N/A","Red","1600",365000
"1047","Used Kia Sephia 1995","kia",1995,"200,000 KM","Manual","Petrol","Blue","1500",40000
"1048","Used Kia Carens 1.6 EX 2010","kia",2010,"205,000 KM","Automatic","Petrol","Silver","1591",185000
"1049","Used Kia Picanto 2006","kia",2006,"200,000 KM","Automatic","Petrol","Silver","1100",100000
"1050","Used Kia Carens 2015","kia",2015,"130,000 KM","Automatic","N/A","Brown","N/A",280000
"1051","Used Kia Carens 1.6 EX 2010","kia",2010,"184,000 KM","Automatic","Petrol","Black","1591",180000
"1052","New Toyota Hilux 2023","kia",2023,"0 KM","Manual","Diesel","White","2400",995000
