"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"530",530,"Asesores","T","America",0.026,0,0
"531",531,"Asesores","T","America",0.021,0,0
"532",532,"Asesores","T","America",0.026,0,0
"533",533,"Asesores","T","America",0.026,578,0.33
"534",534,"Asesores","T","America",0.026,0,0
"535",535,"Asesores","T","America",0.04,0,0
"536",536,"Asesores","T","America",0.026,0,0
"537",537,"Asesores","T","America",0.026,0,0
"538",538,"Asesores","T","America",0.026,4,0.1
"539",539,"Asesores","T","America",0.026,0,0
"540",540,"Asesores","T","America",0.026,65,0.12
"541",541,"Asesores","T","America",0.026,0,0
"542",542,"Asesores","T","America",0.026,0,0
"543",543,"Otros","T","America",0.026,36,0.1
"544",544,"Asesores","T","America",0.026,0,0
"545",545,"Otros","T","Europa",0.074,1034,1.4
"546",546,"Asesores","T","America",0.026,8,0.1
"547",547,"Otros","T","Europa",0.074,0,0
"548",548,"Asesores","T","America",0.026,0,0
"549",549,"Asesores","T","America",0.026,0,0
"550",550,"Asesores","T","America",0.026,0,0
"551",551,"Otros","T","Europa",0.074,54,0.14
"552",552,"Otros","T","Europa",0.074,0,0
"553",553,"Asesores","T","America",0.026,0,0
"554",554,"Asesores","T","America",0.026,0,0
"555",555,"Asesores","T","America",0.026,0,0
"556",556,"Asesores","T","America",0.026,0,0
"557",557,"Asesores","T","America",0.063,131,0.26
"558",558,"Asesores","T","America",0.026,0,0
"559",559,"Asesores","T","America",0.026,4,0.1
"560",560,"Asesores","T","America",0.026,2,0.1
"561",561,"Asesores","T","America",0.026,0,0
"562",562,"Otros","T","Europa",0.074,0,0
"563",563,"Asesores","T","America",0.026,0,0
"564",564,"Otros","T","Europa",0.074,20,0.14
"565",565,"Otros","T","Europa",0.074,0,0
"566",566,"Otros","T","Europa",0.074,0,0
"567",567,"Asesores","T","America",0.063,343,0.45
"568",568,"Asesores","T","America",0.026,106,0.12
"569",569,"Educacion","T","America",0.226,19,0.3
"570",570,"Asesores","T","America",0.026,0,0
"571",571,"Asesores","T","America",0.026,0,0
"572",572,"Asesores","T","America",0.026,0,0
"573",573,"Asesores","T","America",0.026,0,0
"574",574,"Asesores","T","America",0.026,0,0
"575",575,"Asesores","T","America",0.063,38,0.13
"576",576,"Asesores","T","America",0.026,0,0
"577",577,"Asesores","T","America",0.026,0,0
"578",578,"Asesores","T","America",0.026,1,0.1
"579",579,"Asesores","T","America",0.026,114,0.12
